Month,Apr'25,,,,,,,,,,May'25,,,,,,,,,,Jun'25,,,,,,,,,,Quarter 1 (April 25 - June 25) (Yet to Update),,,,,,,,,,July'25,,,,,,,,,,Aug'25,,,,,,,,,,Sep'25,,,,,,,,,,Oct'25,,,,,,,,,,Nov'25,,,,,,,,,,Dec'25,,,,,,,,,
Zone,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY   Total,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Pune,Nagpur,Mauda,Gadarwara,Kolkata,Delhi,Gurgaon,Bangalore,Garo,UPAY Average,Pune,Nagpur,Mauda,Gadarwara,Kolkata,Delhi,Gurgaon,Bangalore,Garo,UPAY Summary,Pune,Nagpur,Mauda,Gadarwara,Kolkata,Delhi,Gurgaon,Bangalore,Garo,UPAY Summary
Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Students/Teacher (Ratio),9,16,6,6,6,10,8,#DIV/0!,8,59,5,16,12,9,0,20,12,15,8,11,6,10,5,5,12,26,6,,7,10,6,10,8,,6,18,8,,7,,10,11,12,6,10,13,11,11,6,10,15,13,10,7,11,10,8,10,7,10,9,18,7,6,11,5,9,15,6,,6,5,10,7,15,10,15,9,4,9,6,6,11,11,13,9,15,10,6,10,7,5,12,11,10,11,16,12,3,10
No of Working Days,27,18,21,23,24,17,18,,17,21,24,25,3,12,0,18,5,,16,13,24,17,19,12,9,20,21,,17,17,25,171,14,15,11,18,14,,17,,23,25,24,24,27,20,24,22,26,24,17,23,20,22,26,23,25,15,25,22,24,23,23,23,30,25,23,16,23,,19,16,17,20,14,21,18,22,20,19,23,24,26,25,22,24,23,24,20,23,16,25,25,24,16,21,23,24,11,21
Total Center Operating Time (hrs),162,177,167,44,434,146,57,,68,1255,162,278,27,22,1,158,14,,64,726,146,218,158,22,143,163,60,,66,975,470,394,352,87,578,467,131,,198,,151,258,160,45,511,134,72,64,102,166,151,243,182,359,590,227,39,27,102,1920,198,344,243,370,630,206,40,33,90,,193,252,320,155,28,163,90,122,78,1401,235,367,567,235,24,194,285,75,74,2056,159,410,623,201,33,128,281,76,44,1955
Monthly Student Count (Monthly Attendance >0 ),100,150,76,23,450,64,59,,42,964,78,107,58,31,1,58,51,,31,415,87,110,77,13,321,112,56,,39,815,265,458,211,67,772,234,166,,112,,76,195,80,28,510,86,63,30,50,124,79,200,103,224,669,119,43,14,60,1511,109,237,92,243,646,96,42,16,48,,118,229,492,112,14,89,65,127,41,1287,102,211,614,113,15,125,175,91,45,166,85,219,577,143,15,38,216,86,18,1397
Monthly Average Student Strength,60,127,58,18,317,48,31,,30,689,26,160,63,18,1,64,31,,32,395,30,148,64,14,355,95,34,,26,766,39,64,62,17,224,69,32,,29,,64,170,69,23,387,69,51,11,41,98,75,144,96,190,490,103,33,10,42,1183,65,181,81,162,455,96,35,15,24,,70,153,357,85,15,20,53,28,9,88,84,163,429,111,13,69,168,66,15,124,62,155,440,98,10,26,58,36,6,891
Average Student's Attendance (%),25%,68%,53%,55%,64%,67%,44%,,34%,51%,50%,,71%,67%,14%,73%,57%,,41%,53%,48%,70%,46%,58%,55%,73%,53%,,49%,56%,41%,29%,56%,60%,44%,71%,51%,,41%,,57%,72%,42%,66%,77%,51%,,48%,39%,56%,51%,63%,70%,57%,71%,55%,77%,34%,43%,58%,51%,61%,63%,52%,73%,49%,79%,44%,32%,,212%,59%,72%,51%,33%,46%,67%,76%,40%,1,61%,62%,71%,58%,40%,54%,69%,73%,31%,57%,65%,62%,75%,49%,30%,51%,66%,72%,58%,59%
Students Drop out (%),14%,2%,17%,32%,7%,46%,36%,,28%,23%,28%,9%,42%,20%,78%,50%,42%,,30%,,16%,10%,25%,40%,24%,15%,39%,,28%,25%,19%,47%,28%,31%,36%,37%,39%,,29%,,29%,10%,35%,33%,3%,38%,0%,39%,24%,23%,29%,12%,29%,28%,6%,26%,12%,38%,13%,21%,33%,7%,30%,26%,3%,39%,0%,29%,40%,,28%,29%,8%,31%,38%,33%,14%,8%,52%,27%,30%,38%,13%,32%,25%,23%,10%,3%,46%,24%,1%,36%,2%,38%,33%,33%,32%,0%,61%,26%
Average Students Performance test in Academics ( % ),38%,70%,52%,,0%,31%,76%,56%,21%,43%,58%,67%,28%,31%,11%,34%,64%,53%,42%,43%,31%,72%,26%,45%,20%,55%,47%,,29%,41%,43%,84%,35%,38%,10%,40%,63%,,31%,,47%,72%,31%,42%,52%,46%,3%,56%,78%,47%,56%,67%,63%,49%,53%,56%,86%,65%,63%,62%,50%,71%,57%,30%,47%,53%,87%,64%,39%,,52%,49%,60%,44%,60%,39%,59%,51%,70%,54%,48%,49%,47%,50%,72%,61%,74%,53%,70%,58%,#DIV/0!,30%,41%,46%,79%,58%,37%,53%,61%,#DIV/0!
Average Students Performance in Values( % ),27%,91%,67%,51%,71%,71%,70%,,29%,60%,49%,91%,67%,11%,68%,27%,70%,21%,0%,45%,49%,91%,59%,11%,71%,27%,70%,,0%,47%,42%,1030%,64%,24%,70%,41%,70%,,10%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,29%,0%,0%,0%,0%,3%,68%,89%,51%,61%,84%,71%,0,45%,78%,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,62%,82%,66%,72%,65%,89%,90%,80%,#DIV/0!
